uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value
parser/code_parser.py:get_list_function_name,get_list_function_name,function,10,19,18,233,12.26,1,1,['file_path'],[None],[None]
parser/code_parser.py:get_list_class_name,get_list_class_name,function,12,28,24,372,13.29,1,2,['file_path'],[None],[None]
parser/code_parser.py:get_list_class_methods,get_list_class_methods,function,19,34,30,475,13.97,2,1,['file_path'],[None],[None]
parser/code_parser.py:get_list_variable_global,get_list_variable_global,function,12,26,24,357,13.73,1,2,['file_path'],[None],[None]
parser/code_parser.py:get_list_function_info,get_list_function_info,function,25,47,40,604,12.85,2,0,['file_path'],[None],[None]
parser/code_parser.py:get_list_class_info,get_list_class_info,function,20,45,39,508,11.29,2,0,['file_path'],[None],[None]
parser/code_parser.py:get_list_method_info,get_list_method_info,function,31,57,46,783,13.74,3,0,['file_path'],[None],[None]
parser/code_parser.py:get_list_method_stats,get_list_method_stats,function,6,12,11,148,12.33,0,1,['file_path'],[None],[None]
parser/code_parser.py:get_list_class_stats,get_list_class_stats,function,6,12,11,147,12.25,0,1,['file_path'],[None],[None]
parser/code_parser.py:get_list_function_stats,get_list_function_stats,function,6,12,11,150,12.5,0,1,['file_path'],[None],[None]
parser/code_parser.py:get_stats,get_stats,function,16,66,44,637,9.65,0,0,"['df', 'file_path']","['pd.DataFrame', 'str']","[None, None]"
parser/code_parser.py:get_file_stats,get_file_stats,function,11,21,19,244,11.62,1,0,['file_path'],[None],[None]
parser/code_parser.py:_get_words,_get_words,function,6,23,21,154,6.7,1,1,['row'],[None],[None]
parser/code_parser.py:_get_avg_char_per_word,_get_avg_char_per_word,function,1,3,3,51,17.0,0,0,['row'],[None],[None]
parser/code_parser.py:_validate_file,_validate_file,function,5,34,18,227,6.68,0,3,['file_path'],[None],[None]
parser/code_parser.py:_clean_data,_clean_data,function,10,67,23,655,9.78,3,9,['array'],[None],[None]
parser/code_parser.py:_remove_empty_line,_remove_empty_line,function,2,7,7,37,5.29,0,1,['line'],[None],[None]
parser/code_parser.py:_remmove_commemt_line,_remmove_commemt_line,function,2,17,14,97,5.71,0,1,['line'],[None],[None]
parser/code_parser.py:_get_and_clean_all_lines,_get_and_clean_all_lines,function,6,18,13,156,8.67,0,1,['file_path'],[None],[None]
parser/code_parser.py:_get_all_lines_in_function,_get_all_lines_in_function,function,21,65,44,661,10.17,3,4,"['function_name', 'array', 'indentMethod']","[None, None, None]","[None, None, ""''""]"
parser/code_parser.py:_get_all_lines_define_function,_get_all_lines_define_function,function,20,49,36,538,10.98,2,3,"['function_name', 'array', 'indentMethod']","[None, None, None]","[None, None, ""''""]"
parser/code_parser.py:_get_define_function_stats,_get_define_function_stats,function,20,92,52,898,9.76,2,6,['array'],[None],[None]
parser/code_parser.py:_get_function_stats,_get_function_stats,function,16,206,105,1958,9.5,4,11,"['array', 'indent']","[None, None]","[None, None]"
parser/code_parser.py:_get_all_lines_in_class,_get_all_lines_in_class,function,19,56,41,583,10.41,2,2,"['class_name', 'array']","[None, None]","[None, None]"
parser/code_parser.py:export_stats_pertype,export_stats_pertype,function,3,6,6,49,8.17,0,0,"['in_path', 'type', 'out_path']","['str', 'str', 'str']","['None', 'None', 'None']"
parser/code_parser.py:export_stats_perfile,export_stats_perfile,function,3,5,5,59,11.8,0,0,"['in_path', 'out_path']","['str', 'str']","['None', 'None']"
parser/code_parser.py:export_stats_perrepo,export_stats_perrepo,function,3,5,5,59,11.8,0,0,"['in_path', 'out_path']","['str', 'str']","['None', 'None']"
parser/code_parser.py:test_example,test_example,function,3,7,7,212,30.29,0,0,[],[],[]
